Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,331,3.8,2.6,5.5,,4/1/12,3/31/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,4549,3.32,1.25,5.38,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,578,5.72,0,11.48,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,445,2.72,0.65,4.79,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,16429,1.35,0.76,1.95,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Pressure sores,PSI_3_ULCER,No Different than the National Rate,5818,0.07,0,0.66,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,122,168.26,127.92,208.6,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,16147,0.36,0.13,0.58,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,11263,0.12,0,0.33,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,2716,0.06,0.06,0.06,,7/1/13,6/30/15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Serious complications,PSI_90_SAFETY,Better than the National Rate,Not Available,0.68,0.48,0.89,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,246,3,1.9,4.5,,4/1/12,3/31/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,1350,5.63,2.29,8.96,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,45,9.18,1.25,17.1,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,142,2.11,0,4.33,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,7910,1.25,0.32,2.19,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Pressure sores,PSI_3_ULCER,No Different than the National Rate,2764,0.14,0,0.96,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,51,179.05,129.83,228.27,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,7626,0.47,0.18,0.75,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,5868,0.11,0,0.38,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,718,0.06,0.06,0.06,,7/1/13,6/30/15
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.85,0.53,1.17,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,370,3.8,2.6,5.7,,4/1/12,3/31/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,2777,3.85,1.21,6.49,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,252,2.5,0.33,4.66,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,11791,1.93,1.2,2.65,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Pressure sores,PSI_3_ULCER,No Different than the National Rate,4265,0.09,0,0.76,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Worse than the National Rate,117,198.33,156.46,240.2,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,11047,0.41,0.16,0.67,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,8380,0.24,0,0.48,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,1774,0.06,0.06,0.06,,7/1/13,6/30/15
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.91,0.66,1.17,,7/1/13,6/30/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,4/1/12,3/31/15
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,128,4.57,0,9.52,,7/1/13,6/30/15
